epoch_number,train_accuracy,validation_accuracy,train_loss,learning_rate
0,67.63392857142857,71.875,0.6576584577560425,0.002
1,68.97321428571429,71.875,0.6148250699043274,0.002
2,68.97321428571429,71.875,0.6125839948654175,0.002
3,68.97321428571429,71.875,0.6088703870773315,0.002
4,68.97321428571429,71.875,0.6083756685256958,0.002
5,68.97321428571429,71.875,0.6072148680686951,0.002
6,68.97321428571429,71.875,0.6035870909690857,0.002
7,68.97321428571429,71.875,0.6053225994110107,0.002
8,68.97321428571429,71.875,0.6067721843719482,0.002
9,68.97321428571429,71.875,0.6018325090408325,0.002
10,68.97321428571429,71.875,0.6016829013824463,0.002
11,68.97321428571429,71.875,0.6013154983520508,0.002
12,68.97321428571429,71.875,0.6049441695213318,0.002
13,68.97321428571429,71.875,0.6028839945793152,0.002
14,68.97321428571429,71.875,0.5993636846542358,0.002
15,68.97321428571429,71.875,0.5995754599571228,0.002
16,68.97321428571429,71.875,0.6024619340896606,0.002
17,68.97321428571429,71.875,0.5978196859359741,0.002
18,68.97321428571429,71.875,0.5971533060073853,0.002
19,68.97321428571429,71.875,0.5969741344451904,0.002
20,68.97321428571429,71.875,0.5969141125679016,0.002
21,68.97321428571429,71.875,0.5958719253540039,0.002
22,68.97321428571429,71.875,0.5918777585029602,0.002
23,69.19642857142857,71.875,0.5936925411224365,0.002
24,68.97321428571429,71.875,0.5936143398284912,0.002
25,69.19642857142857,70.83333333333333,0.5911387205123901,0.002
26,68.52678571428571,71.875,0.5932905077934265,0.002
27,69.19642857142857,70.83333333333333,0.5879165530204773,0.002
28,69.19642857142857,70.83333333333333,0.585503339767456,0.002
29,69.64285714285714,70.83333333333333,0.5879548192024231,0.002
30,69.19642857142857,71.875,0.58807772397995,0.002
31,69.41964285714286,70.83333333333333,0.5850517749786377,0.002
32,68.97321428571429,71.875,0.5836648941040039,0.002
33,69.64285714285714,71.875,0.5825991034507751,0.002
34,69.19642857142857,71.875,0.580236554145813,0.002
35,69.19642857142857,71.875,0.5799664258956909,0.002
36,68.97321428571429,69.79166666666667,0.5771504640579224,0.002
37,69.19642857142857,70.83333333333333,0.5848271250724792,0.002
38,69.41964285714286,71.875,0.5809555053710938,0.002
39,69.41964285714286,71.875,0.5784696936607361,0.002
