epoch_number,train_accuracy,validation_accuracy,train_loss,learning_rate
0,58.035714285714285,70.83333333333333,0.6775573492050171,0.002
1,62.276785714285715,70.83333333333333,0.6611842513084412,0.002
2,62.276785714285715,70.83333333333333,0.6601259112358093,0.002
3,62.276785714285715,70.83333333333333,0.6602076292037964,0.002
4,62.276785714285715,70.83333333333333,0.6595123410224915,0.002
5,62.276785714285715,70.83333333333333,0.6594550609588623,0.002
6,62.276785714285715,70.83333333333333,0.6620903015136719,0.002
7,62.276785714285715,70.83333333333333,0.6605736613273621,0.002
8,62.276785714285715,70.83333333333333,0.6576756834983826,0.002
9,62.276785714285715,70.83333333333333,0.6617879271507263,0.002
10,62.276785714285715,70.83333333333333,0.6602421998977661,0.002
11,62.276785714285715,70.83333333333333,0.6594944000244141,0.002
12,62.276785714285715,70.83333333333333,0.6590803861618042,0.002
13,62.276785714285715,70.83333333333333,0.6599777936935425,0.002
14,62.276785714285715,70.83333333333333,0.6596543788909912,0.002
15,62.276785714285715,70.83333333333333,0.6593582630157471,0.002
16,62.276785714285715,70.83333333333333,0.6618753671646118,0.002
17,62.276785714285715,70.83333333333333,0.6588625907897949,0.002
18,62.276785714285715,70.83333333333333,0.6576411724090576,0.002
19,62.276785714285715,70.83333333333333,0.6583306789398193,0.002
20,62.276785714285715,70.83333333333333,0.6576508283615112,0.002
21,62.276785714285715,70.83333333333333,0.6576035618782043,0.002
22,62.276785714285715,70.83333333333333,0.6585435271263123,0.002
23,62.276785714285715,70.83333333333333,0.6562641859054565,0.002
24,62.276785714285715,70.83333333333333,0.6560202836990356,0.002
25,62.276785714285715,70.83333333333333,0.6572721004486084,0.002
26,62.276785714285715,70.83333333333333,0.6583823561668396,0.002
27,62.276785714285715,70.83333333333333,0.6581791639328003,0.002
28,62.276785714285715,70.83333333333333,0.659958004951477,0.002
29,62.276785714285715,70.83333333333333,0.6603261232376099,0.002
30,62.276785714285715,70.83333333333333,0.6579706072807312,0.002
31,62.276785714285715,70.83333333333333,0.6561816334724426,0.002
32,62.276785714285715,70.83333333333333,0.656629204750061,0.002
33,62.276785714285715,70.83333333333333,0.656033456325531,0.002
34,62.276785714285715,70.83333333333333,0.6573509573936462,0.002
35,62.276785714285715,70.83333333333333,0.6569656729698181,0.002
36,62.276785714285715,70.83333333333333,0.6562597155570984,0.002
37,62.276785714285715,70.83333333333333,0.6568633317947388,0.002
38,62.276785714285715,70.83333333333333,0.6563436388969421,0.002
39,62.276785714285715,70.83333333333333,0.6534088253974915,0.002
