epoch_number,train_accuracy,validation_accuracy,train_loss,learning_rate
0,66.29464285714286,64.58333333333333,0.6548416018486023,0.002
1,67.85714285714286,64.58333333333333,0.6299724578857422,0.002
2,67.85714285714286,64.58333333333333,0.6257225275039673,0.002
3,67.85714285714286,64.58333333333333,0.6253674626350403,0.002
4,67.85714285714286,64.58333333333333,0.6235005855560303,0.002
5,67.85714285714286,64.58333333333333,0.6249235272407532,0.002
6,67.85714285714286,64.58333333333333,0.6238527297973633,0.002
7,67.85714285714286,64.58333333333333,0.6244242191314697,0.002
8,67.85714285714286,64.58333333333333,0.6239640712738037,0.002
9,67.85714285714286,64.58333333333333,0.625120997428894,0.002
10,67.85714285714286,64.58333333333333,0.6254699230194092,0.002
11,67.85714285714286,64.58333333333333,0.626193642616272,0.002
12,67.85714285714286,64.58333333333333,0.6245858073234558,0.002
13,67.85714285714286,64.58333333333333,0.625404953956604,0.002
14,67.85714285714286,64.58333333333333,0.624127209186554,0.002
15,67.85714285714286,64.58333333333333,0.624427080154419,0.002
16,67.85714285714286,64.58333333333333,0.6224841475486755,0.002
17,67.85714285714286,64.58333333333333,0.6258664131164551,0.002
18,67.85714285714286,64.58333333333333,0.623571515083313,0.002
19,67.85714285714286,64.58333333333333,0.6242691278457642,0.002
20,67.85714285714286,64.58333333333333,0.6240147948265076,0.002
21,67.85714285714286,64.58333333333333,0.6245840191841125,0.002
22,67.85714285714286,64.58333333333333,0.6212133765220642,0.002
23,67.85714285714286,64.58333333333333,0.6239955425262451,0.002
24,67.85714285714286,64.58333333333333,0.6216937899589539,0.002
25,67.85714285714286,64.58333333333333,0.6233804821968079,0.002
26,67.85714285714286,64.58333333333333,0.6219304800033569,0.002
27,67.85714285714286,64.58333333333333,0.6239132881164551,0.002
28,67.85714285714286,64.58333333333333,0.624674916267395,0.002
29,67.85714285714286,64.58333333333333,0.6215174794197083,0.002
30,67.85714285714286,64.58333333333333,0.6233478784561157,0.002
31,67.85714285714286,64.58333333333333,0.6219074130058289,0.002
32,67.85714285714286,64.58333333333333,0.6225770115852356,0.002
33,67.85714285714286,64.58333333333333,0.6250092387199402,0.002
34,67.85714285714286,64.58333333333333,0.6247868537902832,0.002
35,67.85714285714286,64.58333333333333,0.6210998892784119,0.002
36,67.85714285714286,64.58333333333333,0.6218399405479431,0.002
37,67.85714285714286,64.58333333333333,0.6256325840950012,0.002
38,67.85714285714286,64.58333333333333,0.6200553178787231,0.002
39,67.85714285714286,64.58333333333333,0.6212875843048096,0.002
